,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa,cluster
24,Aguiar da Beira,2022,3.0,2587,2331,0,1,0,3,2,2,1,3799,91,1008,20,9.0,4918.0,1333204.308,1.0
25,Aguiar da Beira,2022,4.0,2400,2511,0,0,0,12,14,7,10,3791,91,1008,21,43.0,4911.0,1255144.716,1.0
26,Aguiar da Beira,2022,5.0,2297,2612,1,0,0,15,7,6,12,3785,91,1012,21,41.0,4909.0,1242007.25,1.0
27,Aguiar da Beira,2022,6.0,2343,2561,0,0,0,9,9,9,5,3779,91,1015,19,32.0,4904.0,1240382.74,1.0
28,Aguiar da Beira,2022,7.0,2087,2819,0,0,0,11,9,2,3,3781,92,1015,18,25.0,4906.0,1421009.361,1.0
29,Aguiar da Beira,2022,8.0,2053,2851,1,0,0,20,18,9,9,3782,92,1016,14,57.0,4904.0,1421669.142,1.0
30,Aguiar da Beira,2022,9.0,2026,2881,1,1,0,7,6,7,4,3784,92,1015,16,26.0,4907.0,1236009.613,1.0
31,Aguiar da Beira,2022,10.0,1948,2958,4,0,0,11,6,8,7,3784,92,1014,16,36.0,4906.0,1268597.654,1.0
32,Aguiar da Beira,2022,11.0,2225,2677,36,0,0,5,4,10,5,3779,92,1015,16,60.0,4902.0,1325369.3059999999,1.0
35,Aguiar da Beira,2023,2.0,1691,3224,62,0,0,13,5,9,8,3793,95,1012,15,97.0,4915.0,1212040.8569999998,1.0
38,Aguiar da Beira,2023,5.0,1093,3823,62,0,0,20,18,10,7,3794,95,1013,14,117.0,4916.0,1141940.043,1.0
39,Aguiar da Beira,2023,6.0,1062,3871,4,0,0,25,16,8,6,3802,95,1023,13,59.0,4933.0,1164158.76,1.0
40,Aguiar da Beira,2023,7.0,882,4055,1,0,0,19,18,14,15,3806,95,1022,14,67.0,4937.0,1331011.379,1.0
41,Aguiar da Beira,2023,8.0,878,4062,2,0,2,19,11,25,11,3813,95,1021,11,70.0,4940.0,1393164.97,1.0
42,Aguiar da Beira,2023,9.0,784,4149,4,0,0,13,15,19,9,3811,95,1017,10,60.0,4933.0,1211059.677,1.0
43,Aguiar da Beira,2023,10.0,733,4202,11,0,0,13,7,19,2,3811,95,1018,11,52.0,4935.0,1294240.996,1.0
44,Aguiar da Beira,2023,11.0,583,4350,1,0,0,30,20,11,10,3806,95,1017,15,72.0,4933.0,1370767.904,1.0
45,Aguiar da Beira,2023,12.0,370,4561,0,1,0,20,10,15,7,3807,96,1014,14,53.0,4931.0,1505792.074,1.0
46,Aguiar da Beira,2024,1.0,366,4556,1,0,1,26,18,16,9,3805,96,1012,9,71.0,4922.0,1453830.807,1.0
47,Aguiar da Beira,2024,2.0,309,4620,1,0,0,9,7,4,2,3810,96,1014,9,23.0,4929.0,449808.19299999997,1.0
48,Alandroal,2022,3.0,2121,1977,0,0,0,10,7,3,3,3276,45,763,14,23.0,4098.0,1465867.199,1.0
49,Alandroal,2022,4.0,2123,1981,1,0,0,24,21,5,6,3275,45,768,16,57.0,4104.0,1386505.1030000001,1.0
50,Alandroal,2022,5.0,2061,2040,2,0,0,26,21,8,6,3272,45,770,14,63.0,4101.0,1662703.624,1.0
51,Alandroal,2022,6.0,2146,1965,4,0,0,19,20,6,7,3277,45,773,16,56.0,4111.0,1899780.379,1.0
52,Alandroal,2022,7.0,2037,2083,1,0,0,16,14,10,2,3285,45,777,13,43.0,4120.0,2339316.427,1.0
53,Alandroal,2022,8.0,2039,2093,1,0,0,23,25,9,10,3294,45,777,16,68.0,4132.0,2096816.307,1.0
54,Alandroal,2022,9.0,2021,2107,2,0,0,24,15,8,4,3292,45,778,13,53.0,4128.0,1541833.466,1.0
55,Alandroal,2022,10.0,2149,1978,8,0,0,16,16,8,6,3288,45,780,14,54.0,4127.0,1388714.551,1.0
56,Alandroal,2022,11.0,2021,2104,29,0,0,7,8,11,5,3287,45,781,12,60.0,4125.0,1269929.271,1.0
59,Alandroal,2023,2.0,1910,2218,15,0,0,14,14,7,8,3291,45,780,12,58.0,4128.0,1350287.463,1.0
60,Alandroal,2023,3.0,1865,2265,18,0,0,11,13,10,15,3291,45,782,12,67.0,4130.0,1432562.028,1.0
61,Alandroal,2023,4.0,1807,2323,36,0,0,25,22,6,9,3291,45,782,12,98.0,4130.0,1482598.727,1.0
