,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,cluster,ano,concelho
0,2587,2331,0,1,0,3,2,2,1,3799,91,1008,20,1,2022,Aguiar da Beira
1,2400,2511,0,0,0,12,14,7,10,3791,91,1008,21,1,2022,Aguiar da Beira
2,2297,2612,1,0,0,15,7,6,12,3785,91,1012,21,1,2022,Aguiar da Beira
3,2343,2561,0,0,0,9,9,9,5,3779,91,1015,19,1,2022,Aguiar da Beira
4,2087,2819,0,0,0,11,9,2,3,3781,92,1015,18,1,2022,Aguiar da Beira
5,2053,2851,1,0,0,20,18,9,9,3782,92,1016,14,1,2022,Aguiar da Beira
6,2026,2881,1,1,0,7,6,7,4,3784,92,1015,16,1,2022,Aguiar da Beira
7,1948,2958,4,0,0,11,6,8,7,3784,92,1014,16,1,2022,Aguiar da Beira
8,2225,2677,36,0,0,5,4,10,5,3779,92,1015,16,1,2022,Aguiar da Beira
9,1691,3224,62,0,0,13,5,9,8,3793,95,1012,15,1,2023,Aguiar da Beira
10,1093,3823,62,0,0,20,18,10,7,3794,95,1013,14,1,2023,Aguiar da Beira
11,1062,3871,4,0,0,25,16,8,6,3802,95,1023,13,1,2023,Aguiar da Beira
12,882,4055,1,0,0,19,18,14,15,3806,95,1022,14,1,2023,Aguiar da Beira
13,878,4062,2,0,2,19,11,25,11,3813,95,1021,11,1,2023,Aguiar da Beira
14,784,4149,4,0,0,13,15,19,9,3811,95,1017,10,1,2023,Aguiar da Beira
15,733,4202,11,0,0,13,7,19,2,3811,95,1018,11,1,2023,Aguiar da Beira
16,583,4350,1,0,0,30,20,11,10,3806,95,1017,15,1,2023,Aguiar da Beira
17,370,4561,0,1,0,20,10,15,7,3807,96,1014,14,1,2023,Aguiar da Beira
18,366,4556,1,0,1,26,18,16,9,3805,96,1012,9,1,2024,Aguiar da Beira
19,309,4620,1,0,0,9,7,4,2,3810,96,1014,9,1,2024,Aguiar da Beira
20,205,4731,10,0,0,13,12,10,5,3813,96,1018,9,1,2024,Aguiar da Beira
21,2121,1977,0,0,0,10,7,3,3,3276,45,763,14,1,2022,Alandroal
22,2123,1981,1,0,0,24,21,5,6,3275,45,768,16,1,2022,Alandroal
23,2061,2040,2,0,0,26,21,8,6,3272,45,770,14,1,2022,Alandroal
24,2146,1965,4,0,0,19,20,6,7,3277,45,773,16,1,2022,Alandroal
25,2037,2083,1,0,0,16,14,10,2,3285,45,777,13,1,2022,Alandroal
26,2039,2093,1,0,0,23,25,9,10,3294,45,777,16,1,2022,Alandroal
27,2021,2107,2,0,0,24,15,8,4,3292,45,778,13,1,2022,Alandroal
