,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa
0,Abrantes,2022,3,11795,13331,4,0,0,59,41,26,20,20283,293,4467,83,150,25126,13534928.531
1,Abrantes,2022,4,11659,13454,15,0,0,121,116,70,53,20267,293,4470,83,375,25113,11875274.36
2,Abrantes,2022,5,11364,13722,6,1,0,152,117,78,40,20254,293,4457,82,394,25086,11803167.946
3,Abrantes,2022,6,11246,13849,10,0,0,164,149,79,41,20259,293,4461,82,443,25095,11211769.406
4,Abrantes,2022,7,10915,14165,8,0,0,127,112,53,41,20250,293,4454,83,341,25080,12717820.543
5,Abrantes,2022,8,10766,14322,6,0,0,173,149,74,51,20260,293,4452,83,453,25088,11800258.953
6,Abrantes,2022,9,10681,14408,4,1,0,144,121,69,33,20270,293,4445,81,372,25089,11478643.813000001
7,Abrantes,2022,10,10286,14804,32,0,0,135,133,74,34,20280,293,4436,81,408,25090,11791685.404
8,Abrantes,2022,11,10303,14803,268,1,0,182,125,91,41,20291,293,4442,80,708,25106,11806906.762
9,Abrantes,2022,12,10020,15099,382,0,1,123,125,87,39,20297,294,4446,82,757,25119,12052971.525
10,Abrantes,2023,1,9793,15322,309,0,4,204,142,96,57,20298,294,4441,82,812,25115,13986412.566
11,Abrantes,2023,2,9362,15775,727,0,0,163,149,98,30,20288,294,4442,113,1167,25137,12183321.323
12,Abrantes,2023,3,8814,16283,374,0,9,184,148,88,46,20280,294,4448,75,849,25097,12266275.163
13,Abrantes,2023,4,8630,16467,241,0,0,177,163,54,62,20280,294,4448,75,697,25097,10828075.324
14,Abrantes,2023,5,8312,16785,388,0,0,227,187,68,63,20280,294,4448,75,933,25097,11167555.484
15,Abrantes,2023,6,8240,16940,42,0,1,199,177,83,58,20329,295,4479,77,560,25180,10645488.139999999
16,Abrantes,2023,7,7961,17225,10,0,2,213,188,104,63,20344,295,4474,73,580,25186,11801633.578
17,Abrantes,2023,8,7893,17289,7,0,29,177,150,87,51,20344,296,4470,72,501,25182,11349133.674
18,Abrantes,2023,9,7806,17380,12,0,0,138,122,79,39,20344,296,4476,70,390,25186,11058974.035
19,Abrantes,2023,10,7446,17773,27,0,0,179,144,96,46,20372,296,4482,69,492,25219,11748570.672
20,Abrantes,2023,11,7381,17845,6,0,0,224,183,103,45,20382,296,4479,69,561,25226,12489541.51
21,Abrantes,2023,12,7005,18222,6,0,0,131,105,115,35,20379,296,4484,68,392,25227,13459254.337
22,Abrantes,2024,1,6742,18473,5,0,1,208,150,117,38,20372,296,4479,68,519,25215,13888142.626
23,Abrantes,2024,2,6109,19115,5,0,0,103,78,67,18,20353,296,4477,98,271,25224,4598568.374
25,Aguiar da Beira,2022,3,2587,2331,0,1,0,3,2,2,1,3799,91,1008,20,9,4918,1333204.308
26,Aguiar da Beira,2022,4,2400,2511,0,0,0,12,14,7,10,3791,91,1008,21,43,4911,1255144.716
27,Aguiar da Beira,2022,5,2297,2612,1,0,0,15,7,6,12,3785,91,1012,21,41,4909,1242007.25
28,Aguiar da Beira,2022,6,2343,2561,0,0,0,9,9,9,5,3779,91,1015,19,32,4904,1240382.74
29,Aguiar da Beira,2022,7,2087,2819,0,0,0,11,9,2,3,3781,92,1015,18,25,4906,1421009.361
30,Aguiar da Beira,2022,8,2053,2851,1,0,0,20,18,9,9,3782,92,1016,14,57,4904,1421669.142
31,Aguiar da Beira,2022,9,2026,2881,1,1,0,7,6,7,4,3784,92,1015,16,26,4907,1236009.613
32,Aguiar da Beira,2022,10,1948,2958,4,0,0,11,6,8,7,3784,92,1014,16,36,4906,1268597.654
33,Aguiar da Beira,2022,11,2225,2677,36,0,0,5,4,10,5,3779,92,1015,16,60,4902,1325369.3059999999
34,Aguiar da Beira,2022,12,1786,3122,182,0,3,15,7,11,4,3782,93,1017,16,222,4908,1424714.924
35,Aguiar da Beira,2023,1,1788,3124,152,0,3,19,12,20,8,3788,95,1014,15,214,4912,1403855.501
36,Aguiar da Beira,2023,2,1691,3224,62,0,0,13,5,9,8,3793,95,1012,15,97,4915,1212040.8569999998
