,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes
25,Aguiar da Beira,2022,3,Guarda,2587,2331,0,1,0,3,2,2,1,3799,91,1008,20,9,4918
26,Aguiar da Beira,2022,4,Guarda,2400,2511,0,0,0,12,14,7,10,3791,91,1008,21,43,4911
27,Aguiar da Beira,2022,5,Guarda,2297,2612,1,0,0,15,7,6,12,3785,91,1012,21,41,4909
28,Aguiar da Beira,2022,6,Guarda,2343,2561,0,0,0,9,9,9,5,3779,91,1015,19,32,4904
29,Aguiar da Beira,2022,7,Guarda,2087,2819,0,0,0,11,9,2,3,3781,92,1015,18,25,4906
30,Aguiar da Beira,2022,8,Guarda,2053,2851,1,0,0,20,18,9,9,3782,92,1016,14,57,4904
31,Aguiar da Beira,2022,9,Guarda,2026,2881,1,1,0,7,6,7,4,3784,92,1015,16,26,4907
32,Aguiar da Beira,2022,10,Guarda,1948,2958,4,0,0,11,6,8,7,3784,92,1014,16,36,4906
33,Aguiar da Beira,2022,11,Guarda,2225,2677,36,0,0,5,4,10,5,3779,92,1015,16,60,4902
36,Aguiar da Beira,2023,2,Guarda,1691,3224,62,0,0,13,5,9,8,3793,95,1012,15,97,4915
39,Aguiar da Beira,2023,5,Guarda,1093,3823,62,0,0,20,18,10,7,3794,95,1013,14,117,4916
40,Aguiar da Beira,2023,6,Guarda,1062,3871,4,0,0,25,16,8,6,3802,95,1023,13,59,4933
41,Aguiar da Beira,2023,7,Guarda,882,4055,1,0,0,19,18,14,15,3806,95,1022,14,67,4937
42,Aguiar da Beira,2023,8,Guarda,878,4062,2,0,2,19,11,25,11,3813,95,1021,11,70,4940
43,Aguiar da Beira,2023,9,Guarda,784,4149,4,0,0,13,15,19,9,3811,95,1017,10,60,4933
44,Aguiar da Beira,2023,10,Guarda,733,4202,11,0,0,13,7,19,2,3811,95,1018,11,52,4935
45,Aguiar da Beira,2023,11,Guarda,583,4350,1,0,0,30,20,11,10,3806,95,1017,15,72,4933
46,Aguiar da Beira,2023,12,Guarda,370,4561,0,1,0,20,10,15,7,3807,96,1014,14,53,4931
47,Aguiar da Beira,2024,1,Guarda,366,4556,1,0,1,26,18,16,9,3805,96,1012,9,71,4922
48,Aguiar da Beira,2024,2,Guarda,309,4620,1,0,0,9,7,4,2,3810,96,1014,9,23,4929
49,Aguiar da Beira,2024,3,Guarda,205,4731,10,0,0,13,12,10,5,3813,96,1018,9,50,4936
50,Alandroal,2022,3,Évora,2121,1977,0,0,0,10,7,3,3,3276,45,763,14,23,4098
51,Alandroal,2022,4,Évora,2123,1981,1,0,0,24,21,5,6,3275,45,768,16,57,4104
52,Alandroal,2022,5,Évora,2061,2040,2,0,0,26,21,8,6,3272,45,770,14,63,4101
53,Alandroal,2022,6,Évora,2146,1965,4,0,0,19,20,6,7,3277,45,773,16,56,4111
54,Alandroal,2022,7,Évora,2037,2083,1,0,0,16,14,10,2,3285,45,777,13,43,4120
55,Alandroal,2022,8,Évora,2039,2093,1,0,0,23,25,9,10,3294,45,777,16,68,4132
56,Alandroal,2022,9,Évora,2021,2107,2,0,0,24,15,8,4,3292,45,778,13,53,4128
57,Alandroal,2022,10,Évora,2149,1978,8,0,0,16,16,8,6,3288,45,780,14,54,4127
58,Alandroal,2022,11,Évora,2021,2104,29,0,0,7,8,11,5,3287,45,781,12,60,4125
61,Alandroal,2023,2,Évora,1910,2218,15,0,0,14,14,7,8,3291,45,780,12,58,4128
62,Alandroal,2023,3,Évora,1865,2265,18,0,0,11,13,10,15,3291,45,782,12,67,4130
63,Alandroal,2023,4,Évora,1807,2323,36,0,0,25,22,6,9,3291,45,782,12,98,4130
64,Alandroal,2023,5,Évora,1732,2398,62,0,0,24,21,6,4,3291,45,782,12,117,4130
65,Alandroal,2023,6,Évora,1692,2441,2,0,0,18,18,2,8,3288,45,787,13,48,4133
66,Alandroal,2023,7,Évora,1670,2470,0,0,0,18,10,4,8,3289,45,793,13,40,4140
67,Alandroal,2023,8,Évora,1665,2483,1,0,1,20,19,8,10,3291,45,794,18,59,4148
68,Alandroal,2023,9,Évora,1778,2368,0,0,0,14,14,7,5,3295,45,792,14,40,4146
69,Alandroal,2023,10,Évora,1640,2501,3,0,0,21,18,11,12,3293,45,790,13,65,4141
70,Alandroal,2023,11,Évora,1663,2475,2,0,0,33,31,11,6,3292,45,788,13,83,4138
71,Alandroal,2023,12,Évora,1559,2582,0,0,0,17,9,5,6,3294,45,787,15,37,4141
72,Alandroal,2024,1,Évora,1322,2816,1,0,0,23,20,13,7,3294,45,788,11,64,4138
73,Alandroal,2024,2,Évora,1328,2806,2,0,0,15,10,2,1,3288,45,789,12,30,4134
74,Alandroal,2024,3,Évora,1218,2913,1,0,0,19,12,14,7,3286,45,791,9,53,4131
125,Alcanena,2022,3,Santarém,5017,3166,0,0,0,11,9,13,8,6465,113,1577,28,41,8183
126,Alcanena,2022,4,Santarém,4976,3208,5,0,0,20,17,17,15,6467,113,1576,28,74,8184
127,Alcanena,2022,5,Santarém,4920,3262,3,0,0,32,33,17,11,6467,113,1574,28,96,8182
128,Alcanena,2022,6,Santarém,4955,3244,2,0,0,30,25,19,8,6481,113,1575,30,84,8199
129,Alcanena,2022,7,Santarém,4841,3363,2,0,0,27,22,11,4,6485,113,1576,30,66,8204
130,Alcanena,2022,8,Santarém,4839,3366,3,0,0,39,38,15,10,6487,113,1576,29,105,8205
131,Alcanena,2022,9,Santarém,4761,3452,3,1,0,37,36,21,4,6493,113,1578,29,102,8213
132,Alcanena,2022,10,Santarém,4703,3511,8,0,0,29,26,24,4,6492,113,1580,29,91,8214
133,Alcanena,2022,11,Santarém,4654,3570,42,0,0,30,28,12,7,6498,113,1584,29,119,8224
140,Alcanena,2023,6,Santarém,3457,4808,48,0,0,50,44,21,22,6533,114,1587,31,185,8265
141,Alcanena,2023,7,Santarém,3310,4957,6,0,0,45,45,13,8,6534,114,1587,32,117,8267
142,Alcanena,2023,8,Santarém,3307,4954,7,0,12,47,35,22,22,6527,114,1588,32,145,8261
143,Alcanena,2023,9,Santarém,2869,5399,6,0,0,41,37,26,8,6532,114,1592,30,118,8268
144,Alcanena,2023,10,Santarém,2690,5587,4,0,1,42,39,33,9,6535,114,1599,29,128,8277
145,Alcanena,2023,11,Santarém,2021,6254,1,0,0,70,57,42,11,6532,114,1600,29,181,8275
146,Alcanena,2023,12,Santarém,1596,6696,0,0,0,40,29,40,15,6544,114,1600,34,124,8292
147,Alcanena,2024,1,Santarém,1518,6769,2,0,0,64,50,47,13,6544,114,1600,29,176,8287
148,Alcanena,2024,2,Santarém,1348,6943,1,0,0,33,29,25,7,6550,115,1599,27,95,8291
149,Alcanena,2024,3,Santarém,1248,7045,1,0,0,54,50,31,10,6551,115,1601,26,146,8293
200,Alcoutim,2022,3,Faro,1678,2020,0,1,0,4,4,0,5,2858,90,740,10,14,3698
201,Alcoutim,2022,4,Faro,1696,2007,0,0,0,8,7,6,11,2861,90,741,11,32,3703
202,Alcoutim,2022,5,Faro,1643,2056,0,0,0,7,6,4,1,2857,90,742,10,18,3699
203,Alcoutim,2022,6,Faro,1655,2044,0,0,0,7,9,3,9,2855,90,744,10,28,3699
204,Alcoutim,2022,7,Faro,1586,2117,0,0,0,6,5,3,2,2859,90,744,10,16,3703
205,Alcoutim,2022,8,Faro,1560,2146,0,0,0,10,13,4,4,2859,90,747,10,31,3706
206,Alcoutim,2022,9,Faro,1558,2147,1,0,0,5,4,5,2,2857,90,748,10,17,3705
207,Alcoutim,2022,10,Faro,1528,2176,1,0,0,8,5,10,9,2855,90,749,10,33,3704
208,Alcoutim,2022,11,Faro,1535,2173,16,0,0,10,8,9,9,2857,91,748,12,52,3708
209,Alcoutim,2022,12,Faro,1499,2210,46,0,0,7,5,3,5,2857,91,748,13,66,3709
210,Alcoutim,2023,1,Faro,1476,2225,26,0,3,9,4,8,11,2849,91,750,11,61,3701
211,Alcoutim,2023,2,Faro,1453,2251,18,0,0,9,8,7,4,2850,91,751,12,46,3704
212,Alcoutim,2023,3,Faro,1411,2298,38,0,2,15,18,4,10,2851,91,750,17,87,3709
213,Alcoutim,2023,4,Faro,1437,2272,26,0,0,7,6,1,5,2851,91,750,17,45,3709
214,Alcoutim,2023,5,Faro,1399,2310,40,0,0,8,6,1,5,2851,91,750,17,60,3709
215,Alcoutim,2023,6,Faro,1380,2323,2,0,0,4,3,5,5,2849,91,751,12,19,3703
216,Alcoutim,2023,7,Faro,1346,2360,0,0,0,13,10,6,0,2853,91,750,12,29,3706
217,Alcoutim,2023,8,Faro,1356,2355,1,0,1,9,8,5,3,2856,91,750,14,27,3711
218,Alcoutim,2023,9,Faro,1323,2394,0,0,0,8,8,10,3,2863,91,751,12,29,3717
219,Alcoutim,2023,10,Faro,1301,2415,0,0,0,11,7,7,6,2864,91,749,12,31,3716
220,Alcoutim,2023,11,Faro,1323,2393,0,0,0,22,16,7,7,2865,91,748,12,52,3716
221,Alcoutim,2023,12,Faro,1176,2539,0,0,0,5,8,5,3,2862,91,750,12,21,3715
222,Alcoutim,2024,1,Faro,1221,2492,1,0,0,19,10,8,4,2861,91,749,12,42,3713
223,Alcoutim,2024,2,Faro,1153,2563,0,0,0,3,7,3,2,2862,91,750,13,15,3716
224,Alcoutim,2024,3,Faro,1115,2602,0,0,0,9,7,9,2,2862,91,751,13,27,3717
225,Alcácer do Sal,2022,3,Setúbal,1713,6656,2,0,0,31,22,14,7,6609,102,1595,63,76,8369
226,Alcácer do Sal,2022,4,Setúbal,1679,6694,2,0,0,60,63,34,20,6609,102,1598,64,179,8373
227,Alcácer do Sal,2022,5,Setúbal,1576,6796,7,0,0,71,59,28,14,6604,102,1599,67,179,8372
228,Alcácer do Sal,2022,6,Setúbal,1672,6713,9,0,0,77,71,28,19,6606,102,1606,71,204,8385
230,Alcácer do Sal,2022,8,Setúbal,1392,7029,17,0,0,77,69,35,23,6642,102,1611,66,221,8421
231,Alcácer do Sal,2022,9,Setúbal,1380,7033,8,1,0,51,53,42,15,6638,102,1607,66,170,8413
232,Alcácer do Sal,2022,10,Setúbal,1339,7070,15,0,0,52,47,47,18,6641,102,1600,66,179,8409
236,Alcácer do Sal,2023,2,Setúbal,1196,7235,72,0,2,55,54,38,21,6670,102,1596,63,242,8431
237,Alcácer do Sal,2023,3,Setúbal,1098,7339,72,0,2,55,50,36,18,6676,102,1599,60,233,8437
238,Alcácer do Sal,2023,4,Setúbal,1111,7326,34,0,1,63,57,19,26,6676,102,1599,60,200,8437
240,Alcácer do Sal,2023,6,Setúbal,1043,7437,9,0,0,69,69,28,26,6703,102,1609,66,201,8480
241,Alcácer do Sal,2023,7,Setúbal,980,7505,5,0,7,53,51,27,15,6707,102,1608,68,158,8485
242,Alcácer do Sal,2023,8,Setúbal,946,7542,2,0,19,37,47,28,19,6713,102,1611,62,152,8488
243,Alcácer do Sal,2023,9,Setúbal,837,7663,6,0,1,51,41,34,20,6719,102,1615,64,153,8500
