,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes
0,Abrantes,2022,3,Santarém,11795.0,13331.0,4.0,0.0,59.0,41.0,26.0,20.0,20283,293,4467,83,150.0,25126.0
1,Abrantes,2022,4,Santarém,11659.0,13454.0,15.0,0.0,121.0,116.0,70.0,53.0,20267,293,4470,83,375.0,25113.0
2,Abrantes,2022,5,Santarém,11364.0,13722.0,6.0,1.0,152.0,117.0,78.0,40.0,20254,293,4457,82,394.0,25086.0
3,Abrantes,2022,6,Santarém,11246.0,13849.0,10.0,0.0,164.0,149.0,79.0,41.0,20259,293,4461,82,443.0,25095.0
4,Abrantes,2022,7,Santarém,10915.0,14165.0,8.0,0.0,127.0,112.0,53.0,41.0,20250,293,4454,83,341.0,25080.0
5,Abrantes,2022,8,Santarém,10766.0,14322.0,6.0,0.0,173.0,149.0,74.0,51.0,20260,293,4452,83,453.0,25088.0
6,Abrantes,2022,9,Santarém,10681.0,14408.0,4.0,1.0,144.0,121.0,69.0,33.0,20270,293,4445,81,372.0,25089.0
7,Abrantes,2022,10,Santarém,10286.0,14804.0,32.0,0.0,135.0,133.0,74.0,34.0,20280,293,4436,81,408.0,25090.0
8,Abrantes,2022,11,Santarém,10303.0,14803.0,268.0,1.0,182.0,125.0,91.0,41.0,20291,293,4442,80,708.0,25106.0
9,Abrantes,2022,12,Santarém,10020.0,15099.0,382.0,0.0,123.0,125.0,87.0,39.0,20297,294,4446,82,756.0,25119.0
10,Abrantes,2023,1,Santarém,9793.0,15322.0,309.0,0.0,204.0,142.0,96.0,57.0,20298,294,4441,82,808.0,25115.0
11,Abrantes,2023,2,Santarém,9362.0,15775.0,727.0,0.0,163.0,149.0,98.0,30.0,20288,294,4442,113,1167.0,25137.0
12,Abrantes,2023,3,Santarém,8814.0,16283.0,374.0,0.0,184.0,148.0,88.0,46.0,20280,294,4448,75,840.0,25097.0
13,Abrantes,2023,4,Santarém,8630.0,16467.0,241.0,0.0,177.0,163.0,54.0,62.0,20280,294,4448,75,697.0,25097.0
14,Abrantes,2023,5,Santarém,8312.0,16785.0,388.0,0.0,227.0,187.0,68.0,63.0,20280,294,4448,75,933.0,25097.0
15,Abrantes,2023,6,Santarém,8240.0,16940.0,42.0,0.0,199.0,177.0,83.0,58.0,20329,295,4479,77,559.0,25180.0
16,Abrantes,2023,7,Santarém,7961.0,17225.0,10.0,0.0,213.0,188.0,104.0,63.0,20344,295,4474,73,578.0,25186.0
