,Ano,Semestre,CodConcelho,Concelho,Pedidos de Ligação à Rede Executados (#)
25,2022,1,212,Ourique,1.0
26,2022,1,1214,Portalegre,1.0
27,2022,1,1312,Porto,4.0
28,2022,1,1313,Póvoa de Varzim,1.0
29,2022,1,1416,Santarém,1.0
30,2022,1,1513,Sines,1.0
31,2022,1,1215,Sousel,1.0
32,2022,2,1307,Marco de Canaveses,1.0
33,2022,2,1212,Nisa,1.0
34,2022,2,1311,Penafiel,1.0
35,2022,2,1314,Santo Tirso,1.0
36,2022,2,1317,Vila Nova de Gaia,1.0
37,2022,2,1822,Vila Nova de Paiva,1.0
38,2022,2,1714,Vila Real,1.0
39,2022,2,1012,Óbidos,1.0
40,2023,1,801,Albufeira,4.0
41,2023,1,108,Estarreja,1.0
42,2023,1,308,Guimarães,14.0
43,2023,1,1306,Maia,2.0
44,2023,1,811,Portimão,2.0
45,2023,1,1016,Porto de Mós,1.0
46,2023,1,616,Tábua,1.0
47,2023,1,119,Vale de Cambra,1.0
48,2023,2,1602,Caminha,2.0
49,2023,2,1109,Mafra,1.0
50,2023,2,1506,Moita,1.0
51,2023,2,109,Santa Maria da Feira,7.0
52,2024,1,1411,Ferreira do Zêzere,1.0
53,2024,1,1009,Leiria,1.0
54,2024,1,1510,Seixal,1.0
67,2022,1,303,Braga,1.0
68,2022,1,814,Tavira,1.0
69,2022,1,914,Vila Nova de Foz Côa,2.0
70,2022,1,1317,Vila Nova de Gaia,2.0
71,2022,1,1713,Vila Pouca de Aguiar,1.0
72,2022,1,313,Vila Verde,1.0
73,2022,1,705,Évora,1.0
74,2022,2,1410,Entroncamento,1.0
75,2022,2,306,Esposende,1.0
76,2022,2,907,Guarda,1.0
77,2022,2,1306,Maia,1.0
78,2022,2,1511,Sesimbra,1.0
79,2022,2,813,Silves,5.0
80,2023,1,1502,Alcochete,1.0
81,2023,1,1102,Arruda dos Vinhos,1.0
82,2023,1,402,Bragança,1.0
83,2023,1,1602,Caminha,1.0
84,2023,1,903,Celorico da Beira,1.0
85,2023,1,1312,Porto,1.0
86,2023,2,1102,Arruda dos Vinhos,2.0
87,2023,2,1802,Carregal do Sal,1.0
