,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente
0,Abrantes,2022,3,Santarém,11795,13331
1,Abrantes,2022,4,Santarém,11659,13454
2,Abrantes,2022,5,Santarém,11364,13722
3,Abrantes,2022,6,Santarém,11246,13849
4,Abrantes,2022,7,Santarém,10915,14165
5,Abrantes,2022,8,Santarém,10766,14322
6,Abrantes,2022,9,Santarém,10681,14408
7,Abrantes,2022,10,Santarém,10286,14804
8,Abrantes,2022,11,Santarém,10303,14803
9,Abrantes,2022,12,Santarém,10020,15099
10,Abrantes,2023,1,Santarém,9793,15322
11,Abrantes,2023,2,Santarém,9362,15775
12,Abrantes,2023,3,Santarém,8814,16283
13,Abrantes,2023,4,Santarém,8630,16467
14,Abrantes,2023,5,Santarém,8312,16785
15,Abrantes,2023,6,Santarém,8240,16940
16,Abrantes,2023,7,Santarém,7961,17225
17,Abrantes,2023,8,Santarém,7893,17289
18,Abrantes,2023,9,Santarém,7806,17380
19,Abrantes,2023,10,Santarém,7446,17773
20,Abrantes,2023,11,Santarém,7381,17845
21,Abrantes,2023,12,Santarém,7005,18222
22,Abrantes,2024,1,Santarém,6742,18473
23,Abrantes,2024,2,Santarém,6109,19115
24,Abrantes,2024,3,Santarém,5802,19397
25,Abrantes,2024,4,Santarém,5721,19486
26,Aguiar da Beira,2022,3,Guarda,2587,2331
27,Aguiar da Beira,2022,4,Guarda,2400,2511
28,Aguiar da Beira,2022,5,Guarda,2297,2612
29,Aguiar da Beira,2022,6,Guarda,2343,2561
30,Aguiar da Beira,2022,7,Guarda,2087,2819
31,Aguiar da Beira,2022,8,Guarda,2053,2851
32,Aguiar da Beira,2022,9,Guarda,2026,2881
33,Aguiar da Beira,2022,10,Guarda,1948,2958
34,Aguiar da Beira,2022,11,Guarda,2225,2677
35,Aguiar da Beira,2022,12,Guarda,1786,3122
36,Aguiar da Beira,2023,1,Guarda,1788,3124
37,Aguiar da Beira,2023,2,Guarda,1691,3224
38,Aguiar da Beira,2023,3,Guarda,1480,3436
39,Aguiar da Beira,2023,4,Guarda,1344,3572
40,Aguiar da Beira,2023,5,Guarda,1093,3823
41,Aguiar da Beira,2023,6,Guarda,1062,3871
42,Aguiar da Beira,2023,7,Guarda,882,4055
43,Aguiar da Beira,2023,8,Guarda,878,4062
44,Aguiar da Beira,2023,9,Guarda,784,4149
45,Aguiar da Beira,2023,10,Guarda,733,4202
46,Aguiar da Beira,2023,11,Guarda,583,4350
47,Aguiar da Beira,2023,12,Guarda,370,4561
48,Aguiar da Beira,2024,1,Guarda,366,4556
49,Aguiar da Beira,2024,2,Guarda,309,4620
50,Aguiar da Beira,2024,3,Guarda,205,4731
51,Aguiar da Beira,2024,4,Guarda,203,4733
52,Alandroal,2022,3,Évora,2121,1977
53,Alandroal,2022,4,Évora,2123,1981
54,Alandroal,2022,5,Évora,2061,2040
55,Alandroal,2022,6,Évora,2146,1965
56,Alandroal,2022,7,Évora,2037,2083
57,Alandroal,2022,8,Évora,2039,2093
58,Alandroal,2022,9,Évora,2021,2107
59,Alandroal,2022,10,Évora,2149,1978
60,Alandroal,2022,11,Évora,2021,2104
61,Alandroal,2022,12,Évora,2018,2101
62,Alandroal,2023,1,Évora,1908,2216
63,Alandroal,2023,2,Évora,1910,2218
64,Alandroal,2023,3,Évora,1865,2265
65,Alandroal,2023,4,Évora,1807,2323
66,Alandroal,2023,5,Évora,1732,2398
67,Alandroal,2023,6,Évora,1692,2441
68,Alandroal,2023,7,Évora,1670,2470
69,Alandroal,2023,8,Évora,1665,2483
70,Alandroal,2023,9,Évora,1778,2368
71,Alandroal,2023,10,Évora,1640,2501
72,Alandroal,2023,11,Évora,1663,2475
73,Alandroal,2023,12,Évora,1559,2582
74,Alandroal,2024,1,Évora,1322,2816
75,Alandroal,2024,2,Évora,1328,2806
76,Alandroal,2024,3,Évora,1218,2913
77,Alandroal,2024,4,Évora,1208,2923
78,Albergaria-a-Velha,2022,3,Aveiro,8525,5596
79,Albergaria-a-Velha,2022,4,Aveiro,8566,5563
80,Albergaria-a-Velha,2022,5,Aveiro,8460,5662
81,Albergaria-a-Velha,2022,6,Aveiro,8477,5655
82,Albergaria-a-Velha,2022,7,Aveiro,8305,5836
83,Albergaria-a-Velha,2022,8,Aveiro,8340,5797
84,Albergaria-a-Velha,2022,9,Aveiro,8278,5861
85,Albergaria-a-Velha,2022,10,Aveiro,8107,6041
86,Albergaria-a-Velha,2022,11,Aveiro,8039,6123
87,Albergaria-a-Velha,2022,12,Aveiro,7841,6333
88,Albergaria-a-Velha,2023,1,Aveiro,7816,6375
89,Albergaria-a-Velha,2023,2,Aveiro,7764,6438
90,Albergaria-a-Velha,2023,3,Aveiro,7118,7098
91,Albergaria-a-Velha,2023,4,Aveiro,6788,7428
92,Albergaria-a-Velha,2023,5,Aveiro,6461,7755
93,Albergaria-a-Velha,2023,6,Aveiro,5508,8733
94,Albergaria-a-Velha,2023,7,Aveiro,5117,9141
