,concelho,ano,mes,distrito,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros
0,Abrantes,2022,3,Santarém,20283,293,4467,83
1,Abrantes,2022,4,Santarém,20267,293,4470,83
2,Abrantes,2022,5,Santarém,20254,293,4457,82
3,Abrantes,2022,6,Santarém,20259,293,4461,82
4,Abrantes,2022,7,Santarém,20250,293,4454,83
5,Abrantes,2022,8,Santarém,20260,293,4452,83
6,Abrantes,2022,9,Santarém,20270,293,4445,81
7,Abrantes,2022,10,Santarém,20280,293,4436,81
8,Abrantes,2022,11,Santarém,20291,293,4442,80
9,Abrantes,2022,12,Santarém,20297,294,4446,82
10,Abrantes,2023,1,Santarém,20298,294,4441,82
11,Abrantes,2023,2,Santarém,20288,294,4442,113
12,Abrantes,2023,3,Santarém,20280,294,4448,75
13,Abrantes,2023,4,Santarém,20280,294,4448,75
14,Abrantes,2023,5,Santarém,20280,294,4448,75
15,Abrantes,2023,6,Santarém,20329,295,4479,77
16,Abrantes,2023,7,Santarém,20344,295,4474,73
17,Abrantes,2023,8,Santarém,20344,296,4470,72
18,Abrantes,2023,9,Santarém,20344,296,4476,70
19,Abrantes,2023,10,Santarém,20372,296,4482,69
20,Abrantes,2023,11,Santarém,20382,296,4479,69
21,Abrantes,2023,12,Santarém,20379,296,4484,68
22,Abrantes,2024,1,Santarém,20372,296,4479,68
23,Abrantes,2024,2,Santarém,20353,296,4477,98
24,Abrantes,2024,3,Santarém,20356,296,4480,67
25,Aguiar da Beira,2022,3,Guarda,3799,91,1008,20
26,Aguiar da Beira,2022,4,Guarda,3791,91,1008,21
27,Aguiar da Beira,2022,5,Guarda,3785,91,1012,21
28,Aguiar da Beira,2022,6,Guarda,3779,91,1015,19
29,Aguiar da Beira,2022,7,Guarda,3781,92,1015,18
30,Aguiar da Beira,2022,8,Guarda,3782,92,1016,14
31,Aguiar da Beira,2022,9,Guarda,3784,92,1015,16
32,Aguiar da Beira,2022,10,Guarda,3784,92,1014,16
33,Aguiar da Beira,2022,11,Guarda,3779,92,1015,16
34,Aguiar da Beira,2022,12,Guarda,3782,93,1017,16
35,Aguiar da Beira,2023,1,Guarda,3788,95,1014,15
36,Aguiar da Beira,2023,2,Guarda,3793,95,1012,15
37,Aguiar da Beira,2023,3,Guarda,3794,95,1013,14
38,Aguiar da Beira,2023,4,Guarda,3794,95,1013,14
39,Aguiar da Beira,2023,5,Guarda,3794,95,1013,14
40,Aguiar da Beira,2023,6,Guarda,3802,95,1023,13
41,Aguiar da Beira,2023,7,Guarda,3806,95,1022,14
42,Aguiar da Beira,2023,8,Guarda,3813,95,1021,11
43,Aguiar da Beira,2023,9,Guarda,3811,95,1017,10
44,Aguiar da Beira,2023,10,Guarda,3811,95,1018,11
45,Aguiar da Beira,2023,11,Guarda,3806,95,1017,15
46,Aguiar da Beira,2023,12,Guarda,3807,96,1014,14
47,Aguiar da Beira,2024,1,Guarda,3805,96,1012,9
48,Aguiar da Beira,2024,2,Guarda,3810,96,1014,9
49,Aguiar da Beira,2024,3,Guarda,3813,96,1018,9
50,Alandroal,2022,3,Évora,3276,45,763,14
51,Alandroal,2022,4,Évora,3275,45,768,16
52,Alandroal,2022,5,Évora,3272,45,770,14
53,Alandroal,2022,6,Évora,3277,45,773,16
54,Alandroal,2022,7,Évora,3285,45,777,13
55,Alandroal,2022,8,Évora,3294,45,777,16
56,Alandroal,2022,9,Évora,3292,45,778,13
57,Alandroal,2022,10,Évora,3288,45,780,14
58,Alandroal,2022,11,Évora,3287,45,781,12
59,Alandroal,2022,12,Évora,3279,45,782,13
60,Alandroal,2023,1,Évora,3285,45,782,12
61,Alandroal,2023,2,Évora,3291,45,780,12
62,Alandroal,2023,3,Évora,3291,45,782,12
63,Alandroal,2023,4,Évora,3291,45,782,12
64,Alandroal,2023,5,Évora,3291,45,782,12
65,Alandroal,2023,6,Évora,3288,45,787,13
66,Alandroal,2023,7,Évora,3289,45,793,13
67,Alandroal,2023,8,Évora,3291,45,794,18
68,Alandroal,2023,9,Évora,3295,45,792,14
69,Alandroal,2023,10,Évora,3293,45,790,13
70,Alandroal,2023,11,Évora,3292,45,788,13
71,Alandroal,2023,12,Évora,3294,45,787,15
72,Alandroal,2024,1,Évora,3294,45,788,11
73,Alandroal,2024,2,Évora,3288,45,789,12
74,Alandroal,2024,3,Évora,3286,45,791,9
75,Albergaria-a-Velha,2022,3,Aveiro,11233,177,2587,124
76,Albergaria-a-Velha,2022,4,Aveiro,11237,177,2591,124
77,Albergaria-a-Velha,2022,5,Aveiro,11227,177,2598,120
78,Albergaria-a-Velha,2022,6,Aveiro,11231,178,2602,121
79,Albergaria-a-Velha,2022,7,Aveiro,11238,178,2600,125
80,Albergaria-a-Velha,2022,8,Aveiro,11240,178,2595,124
81,Albergaria-a-Velha,2022,9,Aveiro,11239,178,2600,122
82,Albergaria-a-Velha,2022,10,Aveiro,11257,178,2595,118
83,Albergaria-a-Velha,2022,11,Aveiro,11270,178,2597,117
84,Albergaria-a-Velha,2022,12,Aveiro,11283,178,2596,117
85,Albergaria-a-Velha,2023,1,Aveiro,11301,178,2598,114
86,Albergaria-a-Velha,2023,2,Aveiro,11309,178,2601,114
87,Albergaria-a-Velha,2023,3,Aveiro,11318,178,2608,112
88,Albergaria-a-Velha,2023,4,Aveiro,11318,178,2608,112
89,Albergaria-a-Velha,2023,5,Aveiro,11318,178,2608,112
90,Albergaria-a-Velha,2023,6,Aveiro,11340,178,2612,111
91,Albergaria-a-Velha,2023,7,Aveiro,11352,178,2617,111
92,Albergaria-a-Velha,2023,8,Aveiro,11357,178,2618,104
93,Albergaria-a-Velha,2023,9,Aveiro,11369,178,2619,103
94,Albergaria-a-Velha,2023,10,Aveiro,11368,178,2622,102
95,Albergaria-a-Velha,2023,11,Aveiro,11378,178,2624,100
96,Albergaria-a-Velha,2023,12,Aveiro,11387,178,2626,98
97,Albergaria-a-Velha,2024,1,Aveiro,11388,178,2618,95
98,Albergaria-a-Velha,2024,2,Aveiro,11393,178,2628,90
99,Albergaria-a-Velha,2024,3,Aveiro,11390,178,2629,90
100,Albufeira,2022,3,Faro,42299,454,10366,146
101,Albufeira,2022,4,Faro,42384,454,10477,143
102,Albufeira,2022,5,Faro,42431,454,10476,143
103,Albufeira,2022,6,Faro,42511,454,10499,140
104,Albufeira,2022,7,Faro,42558,454,10519,136
105,Albufeira,2022,8,Faro,42621,455,10531,137
106,Albufeira,2022,9,Faro,42624,455,10539,134
107,Albufeira,2022,10,Faro,42602,455,10491,135
108,Albufeira,2022,11,Faro,42408,455,10381,134
109,Albufeira,2022,12,Faro,42448,455,10274,136
110,Albufeira,2023,1,Faro,42450,455,10282,130
111,Albufeira,2023,2,Faro,42485,457,10326,130
112,Albufeira,2023,3,Faro,42714,457,10511,130
113,Albufeira,2023,4,Faro,42714,457,10510,130
114,Albufeira,2023,5,Faro,42714,457,10510,130
115,Albufeira,2023,6,Faro,42966,458,10601,132
116,Albufeira,2023,7,Faro,43028,458,10621,129
117,Albufeira,2023,8,Faro,43051,458,10621,135
118,Albufeira,2023,9,Faro,43048,458,10626,134
119,Albufeira,2023,10,Faro,43035,458,10630,132
120,Albufeira,2023,11,Faro,42866,458,10515,134
121,Albufeira,2023,12,Faro,42858,459,10515,137
122,Albufeira,2024,1,Faro,42897,459,10631,130
123,Albufeira,2024,2,Faro,42897,459,10650,129
124,Albufeira,2024,3,Faro,43057,456,10658,128
125,Alcanena,2022,3,Santarém,6465,113,1577,28
126,Alcanena,2022,4,Santarém,6467,113,1576,28
127,Alcanena,2022,5,Santarém,6467,113,1574,28
128,Alcanena,2022,6,Santarém,6481,113,1575,30
129,Alcanena,2022,7,Santarém,6485,113,1576,30
130,Alcanena,2022,8,Santarém,6487,113,1576,29
131,Alcanena,2022,9,Santarém,6493,113,1578,29
132,Alcanena,2022,10,Santarém,6492,113,1580,29
133,Alcanena,2022,11,Santarém,6498,113,1584,29
134,Alcanena,2022,12,Santarém,6498,114,1588,34
135,Alcanena,2023,1,Santarém,6505,114,1579,29
136,Alcanena,2023,2,Santarém,6506,114,1579,29
137,Alcanena,2023,3,Santarém,6516,114,1580,29
138,Alcanena,2023,4,Santarém,6516,114,1580,29
139,Alcanena,2023,5,Santarém,6516,114,1580,29
140,Alcanena,2023,6,Santarém,6533,114,1587,31
141,Alcanena,2023,7,Santarém,6534,114,1587,32
142,Alcanena,2023,8,Santarém,6527,114,1588,32
143,Alcanena,2023,9,Santarém,6532,114,1592,30
144,Alcanena,2023,10,Santarém,6535,114,1599,29
145,Alcanena,2023,11,Santarém,6532,114,1600,29
146,Alcanena,2023,12,Santarém,6544,114,1600,34
147,Alcanena,2024,1,Santarém,6544,114,1600,29
148,Alcanena,2024,2,Santarém,6550,115,1599,27
149,Alcanena,2024,3,Santarém,6551,115,1601,26
150,Alcobaça,2022,3,Leiria,30295,512,7571,280
151,Alcobaça,2022,4,Leiria,30305,512,7579,283
152,Alcobaça,2022,5,Leiria,30317,514,7619,282
153,Alcobaça,2022,6,Leiria,30347,514,7649,284
154,Alcobaça,2022,7,Leiria,30412,515,7653,298
155,Alcobaça,2022,8,Leiria,30438,515,7656,295
156,Alcobaça,2022,9,Leiria,30457,516,7665,292
157,Alcobaça,2022,10,Leiria,30482,516,7668,289
158,Alcobaça,2022,11,Leiria,30480,516,7648,291
159,Alcobaça,2022,12,Leiria,30497,516,7651,298
160,Alcobaça,2023,1,Leiria,30532,516,7646,280
161,Alcobaça,2023,2,Leiria,30549,522,7652,282
162,Alcobaça,2023,3,Leiria,30564,522,7658,283
163,Alcobaça,2023,4,Leiria,30564,522,7658,283
164,Alcobaça,2023,5,Leiria,30564,522,7658,283
165,Alcobaça,2023,6,Leiria,30709,526,7742,268
166,Alcobaça,2023,7,Leiria,30761,526,7760,267
167,Alcobaça,2023,8,Leiria,30782,526,7774,262
168,Alcobaça,2023,9,Leiria,30813,526,7773,257
169,Alcobaça,2023,10,Leiria,30838,526,7782,260
170,Alcobaça,2023,11,Leiria,30859,526,7768,269
171,Alcobaça,2023,12,Leiria,30869,526,7767,270
172,Alcobaça,2024,1,Leiria,30886,526,7778,249
173,Alcobaça,2024,2,Leiria,30881,526,7765,241
174,Alcobaça,2024,3,Leiria,30906,526,7776,233
175,Alcochete,2022,3,Setúbal,8452,105,3054,82
176,Alcochete,2022,4,Setúbal,8451,105,3055,83
177,Alcochete,2022,5,Setúbal,8458,105,3053,87
178,Alcochete,2022,6,Setúbal,8467,105,3055,85
179,Alcochete,2022,7,Setúbal,8493,105,3053,85
180,Alcochete,2022,8,Setúbal,8504,105,3059,85
181,Alcochete,2022,9,Setúbal,8516,105,3060,83
182,Alcochete,2022,10,Setúbal,8530,105,3061,82
183,Alcochete,2022,11,Setúbal,8538,105,3062,90
184,Alcochete,2022,12,Setúbal,8538,105,3059,91
185,Alcochete,2023,1,Setúbal,8538,105,3059,85
186,Alcochete,2023,2,Setúbal,8546,105,3068,82
187,Alcochete,2023,3,Setúbal,8558,105,3066,81
188,Alcochete,2023,4,Setúbal,8558,105,3066,81
189,Alcochete,2023,5,Setúbal,8558,105,3066,81
190,Alcochete,2023,6,Setúbal,8561,105,3073,80
191,Alcochete,2023,7,Setúbal,8578,105,3082,83
192,Alcochete,2023,8,Setúbal,8591,105,3089,82
193,Alcochete,2023,9,Setúbal,8589,105,3091,80
194,Alcochete,2023,10,Setúbal,8589,105,3096,82
195,Alcochete,2023,11,Setúbal,8584,105,3108,85
196,Alcochete,2023,12,Setúbal,8589,104,3110,85
197,Alcochete,2024,1,Setúbal,8599,104,3110,77
198,Alcochete,2024,2,Setúbal,8597,104,3107,75
199,Alcochete,2024,3,Setúbal,8603,104,3107,74
200,Alcoutim,2022,3,Faro,2858,90,740,10
201,Alcoutim,2022,4,Faro,2861,90,741,11
202,Alcoutim,2022,5,Faro,2857,90,742,10
203,Alcoutim,2022,6,Faro,2855,90,744,10
204,Alcoutim,2022,7,Faro,2859,90,744,10
205,Alcoutim,2022,8,Faro,2859,90,747,10
206,Alcoutim,2022,9,Faro,2857,90,748,10
207,Alcoutim,2022,10,Faro,2855,90,749,10
208,Alcoutim,2022,11,Faro,2857,91,748,12
209,Alcoutim,2022,12,Faro,2857,91,748,13
210,Alcoutim,2023,1,Faro,2849,91,750,11
211,Alcoutim,2023,2,Faro,2850,91,751,12
212,Alcoutim,2023,3,Faro,2851,91,750,17
213,Alcoutim,2023,4,Faro,2851,91,750,17
214,Alcoutim,2023,5,Faro,2851,91,750,17
215,Alcoutim,2023,6,Faro,2849,91,751,12
216,Alcoutim,2023,7,Faro,2853,91,750,12
217,Alcoutim,2023,8,Faro,2856,91,750,14
