,concelho,ano,mes,distrito,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao
0,Abrantes,2022,3,Santarém,4,0,59,41,26,20
1,Abrantes,2022,4,Santarém,15,0,121,116,70,53
2,Abrantes,2022,5,Santarém,6,1,152,117,78,40
3,Abrantes,2022,6,Santarém,10,0,164,149,79,41
4,Abrantes,2022,7,Santarém,8,0,127,112,53,41
5,Abrantes,2022,8,Santarém,6,0,173,149,74,51
6,Abrantes,2022,9,Santarém,4,1,144,121,69,33
7,Abrantes,2022,10,Santarém,32,0,135,133,74,34
8,Abrantes,2022,11,Santarém,268,1,182,125,91,41
9,Abrantes,2022,12,Santarém,382,0,123,125,87,39
10,Abrantes,2023,1,Santarém,309,0,204,142,96,57
11,Abrantes,2023,2,Santarém,727,0,163,149,98,30
12,Abrantes,2023,3,Santarém,374,0,184,148,88,46
13,Abrantes,2023,4,Santarém,241,0,177,163,54,62
14,Abrantes,2023,5,Santarém,388,0,227,187,68,63
15,Abrantes,2023,6,Santarém,42,0,199,177,83,58
16,Abrantes,2023,7,Santarém,10,0,213,188,104,63
17,Abrantes,2023,8,Santarém,7,0,177,150,87,51
18,Abrantes,2023,9,Santarém,12,0,138,122,79,39
19,Abrantes,2023,10,Santarém,27,0,179,144,96,46
20,Abrantes,2023,11,Santarém,6,0,224,183,103,45
21,Abrantes,2023,12,Santarém,6,0,131,105,115,35
22,Abrantes,2024,1,Santarém,5,0,208,150,117,38
23,Abrantes,2024,2,Santarém,5,0,103,78,67,18
24,Abrantes,2024,3,Santarém,9,0,160,118,99,38
25,Abrantes,2024,4,Santarém,1,0,48,25,14,7
26,Aguiar da Beira,2022,3,Guarda,0,1,3,2,2,1
27,Aguiar da Beira,2022,4,Guarda,0,0,12,14,7,10
28,Aguiar da Beira,2022,5,Guarda,1,0,15,7,6,12
29,Aguiar da Beira,2022,6,Guarda,0,0,9,9,9,5
30,Aguiar da Beira,2022,7,Guarda,0,0,11,9,2,3
31,Aguiar da Beira,2022,8,Guarda,1,0,20,18,9,9
32,Aguiar da Beira,2022,9,Guarda,1,1,7,6,7,4
33,Aguiar da Beira,2022,10,Guarda,4,0,11,6,8,7
34,Aguiar da Beira,2022,11,Guarda,36,0,5,4,10,5
35,Aguiar da Beira,2022,12,Guarda,182,0,15,7,11,4
36,Aguiar da Beira,2023,1,Guarda,152,0,19,12,20,8
37,Aguiar da Beira,2023,2,Guarda,62,0,13,5,9,8
38,Aguiar da Beira,2023,3,Guarda,92,0,10,6,10,11
39,Aguiar da Beira,2023,4,Guarda,83,0,14,15,11,9
40,Aguiar da Beira,2023,5,Guarda,62,0,20,18,10,7
41,Aguiar da Beira,2023,6,Guarda,4,0,25,16,8,6
42,Aguiar da Beira,2023,7,Guarda,1,0,19,18,14,15
43,Aguiar da Beira,2023,8,Guarda,2,0,19,11,25,11
44,Aguiar da Beira,2023,9,Guarda,4,0,13,15,19,9
45,Aguiar da Beira,2023,10,Guarda,11,0,13,7,19,2
46,Aguiar da Beira,2023,11,Guarda,1,0,30,20,11,10
47,Aguiar da Beira,2023,12,Guarda,0,1,20,10,15,7
48,Aguiar da Beira,2024,1,Guarda,1,0,26,18,16,9
49,Aguiar da Beira,2024,2,Guarda,1,0,9,7,4,2
50,Aguiar da Beira,2024,3,Guarda,10,0,13,12,10,5
51,Aguiar da Beira,2024,4,Guarda,0,0,5,1,3,2
52,Alandroal,2022,3,Évora,0,0,10,7,3,3
53,Alandroal,2022,4,Évora,1,0,24,21,5,6
54,Alandroal,2022,5,Évora,2,0,26,21,8,6
55,Alandroal,2022,6,Évora,4,0,19,20,6,7
56,Alandroal,2022,7,Évora,1,0,16,14,10,2
57,Alandroal,2022,8,Évora,1,0,23,25,9,10
58,Alandroal,2022,9,Évora,2,0,24,15,8,4
59,Alandroal,2022,10,Évora,8,0,16,16,8,6
60,Alandroal,2022,11,Évora,29,0,7,8,11,5
61,Alandroal,2022,12,Évora,87,0,12,7,8,2
62,Alandroal,2023,1,Évora,120,1,21,13,15,10
63,Alandroal,2023,2,Évora,15,0,14,14,7,8
64,Alandroal,2023,3,Évora,18,0,11,13,10,15
65,Alandroal,2023,4,Évora,36,0,25,22,6,9
66,Alandroal,2023,5,Évora,62,0,24,21,6,4
67,Alandroal,2023,6,Évora,2,0,18,18,2,8
68,Alandroal,2023,7,Évora,0,0,18,10,4,8
69,Alandroal,2023,8,Évora,1,0,20,19,8,10
70,Alandroal,2023,9,Évora,0,0,14,14,7,5
71,Alandroal,2023,10,Évora,3,0,21,18,11,12
72,Alandroal,2023,11,Évora,2,0,33,31,11,6
73,Alandroal,2023,12,Évora,0,0,17,9,5,6
74,Alandroal,2024,1,Évora,1,0,23,20,13,7
75,Alandroal,2024,2,Évora,2,0,15,10,2,1
76,Alandroal,2024,3,Évora,1,0,19,12,14,7
77,Alandroal,2024,4,Évora,0,0,9,8,3,0
78,Albergaria-a-Velha,2022,3,Aveiro,2,0,20,12,10,8
79,Albergaria-a-Velha,2022,4,Aveiro,8,0,33,32,31,16
80,Albergaria-a-Velha,2022,5,Aveiro,6,0,48,32,37,12
81,Albergaria-a-Velha,2022,6,Aveiro,5,0,41,31,25,8
82,Albergaria-a-Velha,2022,7,Aveiro,7,0,34,29,12,6
83,Albergaria-a-Velha,2022,8,Aveiro,2,0,52,42,24,11
84,Albergaria-a-Velha,2022,9,Aveiro,4,0,37,40,32,8
85,Albergaria-a-Velha,2022,10,Aveiro,9,0,27,22,27,4
86,Albergaria-a-Velha,2022,11,Aveiro,63,0,43,26,20,8
87,Albergaria-a-Velha,2022,12,Aveiro,106,0,45,36,23,9
88,Albergaria-a-Velha,2023,1,Aveiro,121,1,60,44,39,16
89,Albergaria-a-Velha,2023,2,Aveiro,87,0,47,32,31,11
